LAST SEEN   TYPE     REASON              OBJECT                                               MESSAGE
79s         Normal   Scheduled           pod/envmanager-76c64c8cc9-gfcxt                      Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-gfcxt to turbo-engine-e2e-control-plane
79s         Normal   Scheduled           pod/jaeger-54885dfdf-78dbv                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-78dbv to turbo-engine-e2e-control-plane
79s         Normal   Created             pod/builder-678474bf88-cvd85                         Container created
79s         Normal   Started             pod/builder-678474bf88-cvd85                         Container started
79s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-cvd85
79s         Normal   ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
79s         Normal   Scheduled           pod/console-78fbd5c84-kttvp                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-kttvp to turbo-engine-e2e-control-plane
79s         Normal   Pulled              pod/console-78fbd5c84-kttvp                          Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
79s         Normal   Created             pod/console-78fbd5c84-kttvp                          Container created
79s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-r8d5s                  Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-r8d5s to turbo-engine-e2e-control-plane
79s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-kttvp
79s         Normal   ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
79s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                     Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
79s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4          Created pod: turbo-engine-operator-7cd95f4bc4-2qp9v
79s         Normal   ScalingReplicaSet   deployment/jaeger                                    Scaled up replica set jaeger-54885dfdf from 0 to 1
79s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                          Created pod: jaeger-54885dfdf-78dbv
79s         Normal   Scheduled           pod/builder-678474bf88-cvd85                         Successfully assigned turbo-engine-e2e/builder-678474bf88-cvd85 to turbo-engine-e2e-control-plane
79s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-2qp9v           Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-2qp9v to turbo-engine-e2e-control-plane
79s         Normal   ScalingReplicaSet   deployment/registry                                  Scaled up replica set registry-7d5f66bcd8 from 0 to 1
