LAST SEEN   TYPE      REASON              OBJECT                                               MESSAGE
96s         Normal    Scheduled           pod/envmanager-76c64c8cc9-qnbfm                      Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-qnbfm to turbo-engine-e2e-control-plane
96s         Normal    Scheduled           pod/builder-678474bf88-5cw9l                         Successfully assigned turbo-engine-e2e/builder-678474bf88-5cw9l to turbo-engine-e2e-control-plane
96s         Normal    ScalingReplicaSet   deployment/jaeger                                    Scaled up replica set jaeger-54885dfdf from 0 to 1
96s         Normal    SuccessfulCreate    replicaset/jaeger-54885dfdf                          Created pod: jaeger-54885dfdf-4mqlc
96s         Normal    SuccessfulCreate    replicaset/builder-678474bf88                        Created pod: builder-678474bf88-5cw9l
96s         Normal    ScalingReplicaSet   deployment/builder                                   Scaled up replica set builder-678474bf88 from 0 to 1
96s         Normal    Scheduled           pod/console-78fbd5c84-rckgs                          Successfully assigned turbo-engine-e2e/console-78fbd5c84-rckgs to turbo-engine-e2e-control-plane
96s         Normal    Scheduled           pod/jaeger-54885dfdf-4mqlc                           Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-4mqlc to turbo-engine-e2e-control-plane
96s         Normal    ScalingReplicaSet   deployment/gateway                                   Scaled up replica set gateway-586c64fdf5 from 0 to 1
96s         Normal    SuccessfulCreate    replicaset/gateway-586c64fdf5                        Created pod: gateway-586c64fdf5-5fqn9
96s         Normal    SuccessfulCreate    replicaset/console-78fbd5c84                         Created pod: console-78fbd5c84-rckgs
96s         Normal    ScalingReplicaSet   deployment/console                                   Scaled up replica set console-78fbd5c84 from 0 to 1
96s         Normal    Scheduled           pod/gateway-586c64fdf5-5fqn9                         Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-5fqn9 to turbo-engine-e2e-control-plane
96s         Normal    ScalingReplicaSet   deployment/explorer                                  Scaled up replica set explorer-5465b84fd from 0 to 1
96s         Normal    SuccessfulCreate    replicaset/explorer-5465b84fd                        Created pod: explorer-5465b84fd-cwgzh
96s         Normal    Scheduled           pod/explorer-5465b84fd-cwgzh                         Successfully assigned turbo-engine-e2e/explorer-5465b84fd-cwgzh to turbo-engine-e2e-control-plane
96s         Normal    ScalingReplicaSet   deployment/envmanager                                Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
96s         Normal    SuccessfulCreate    replicaset/envmanager-76c64c8cc9                     Created pod: envmanager-76c64c8cc9-qnbfm
95s         Normal    Pulling             pod/otel-collector-8584bc4d4c-tw422                  Pulling image "otel/opentelemetry-collector-contrib:0.96.0"
95s         Normal    Pulled              pod/console-78fbd5c84-rckgs                          Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
95s         Normal    ScalingReplicaSet   deployment/turbo-engine-operator                     Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
95s         Normal    SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4          Created pod: turbo-engine-operator-7cd95f4bc4-82fnb
95s         Normal    Created             pod/turbo-engine-operator-7cd95f4bc4-82fnb           Container created
95s         Normal    Pulled              pod/turbo-engine-operator-7cd95f4bc4-82fnb           Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
95s         Normal    Scheduled           pod/turbo-engine-operator-7cd95f4bc4-82fnb           Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-82fnb to turbo-engine-e2e-control-plane
95s         Normal    Pulled              pod/envmanager-76c64c8cc9-qnbfm                      Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
95s         Normal    Created             pod/envmanager-76c64c8cc9-qnbfm                      Container created
95s         Normal    Started             pod/envmanager-76c64c8cc9-qnbfm                      Container started
95s         Normal    ScalingReplicaSet   deployment/registry                                  Scaled up replica set registry-7d5f66bcd8 from 0 to 1
95s         Normal    SuccessfulCreate    replicaset/registry-7d5f66bcd8                       Created pod: registry-7d5f66bcd8-lltng
95s         Normal    Started             pod/registry-7d5f66bcd8-lltng                        Container started
