LAST SEEN   TYPE     REASON              OBJECT                                          MESSAGE
35s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                    Created pod: console-78fbd5c84-64mbb
35s         Normal   Scheduled           pod/builder-678474bf88-2lsq7                    Successfully assigned turbo-engine-e2e/builder-678474bf88-2lsq7 to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/gateway                              Scaled up replica set gateway-586c64fdf5 from 0 to 1
35s         Normal   ScalingReplicaSet   deployment/envmanager                           Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                   Created pod: builder-678474bf88-2lsq7
35s         Normal   ScalingReplicaSet   deployment/builder                              Scaled up replica set builder-678474bf88 from 0 to 1
35s         Normal   Scheduled           pod/console-78fbd5c84-64mbb                     Successfully assigned turbo-engine-e2e/console-78fbd5c84-64mbb to turbo-engine-e2e-control-plane
35s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                Created pod: envmanager-76c64c8cc9-q5dmm
35s         Normal   Scheduled           pod/envmanager-76c64c8cc9-q5dmm                 Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-q5dmm to turbo-engine-e2e-control-plane
35s         Normal   ScalingReplicaSet   deployment/console                              Scaled up replica set console-78fbd5c84 from 0 to 1
34s         Normal   ScalingReplicaSet   deployment/otel-collector                       Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
34s         Normal   Scheduled           pod/registry-7d5f66bcd8-x5j8v                   Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-x5j8v to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
34s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4     Created pod: turbo-engine-operator-7cd95f4bc4-ttrng
34s         Normal   Created             pod/turbo-engine-operator-7cd95f4bc4-ttrng      Container created
34s         Normal   Pulled              pod/turbo-engine-operator-7cd95f4bc4-ttrng      Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
34s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-ttrng      Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-ttrng to turbo-engine-e2e-control-plane
34s         Normal   ScalingReplicaSet   deployment/registry                             Scaled up replica set registry-7d5f66bcd8 from 0 to 1
34s         Normal   Created             pod/console-78fbd5c84-64mbb                     Container created
34s         Normal   Pulled              pod/envmanager-76c64c8cc9-q5dmm                 Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
34s         Normal   Created             pod/envmanager-76c64c8cc9-q5dmm                 Container created
34s         Normal   Started             pod/envmanager-76c64c8cc9-q5dmm                 Container started
34s         Normal   Pulled              pod/console-78fbd5c84-64mbb                     Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
34s         Normal   Started             pod/builder-678474bf88-2lsq7                    Container started
34s         Normal   Scheduled           pod/gateway-586c64fdf5-fccbt                    Successfully assigned turbo-engine-e2e/gateway-586c64fdf5-fccbt to turbo-engine-e2e-control-plane
34s         Normal   Pulled              pod/gateway-586c64fdf5-fccbt                    Container image "turbo-engine/gateway:e2e" already present on machine and can be accessed by the pod
34s         Normal   Created             pod/gateway-586c64fdf5-fccbt                    Container created
34s         Normal   Started             pod/gateway-586c64fdf5-fccbt                    Container started
34s         Normal   SuccessfulCreate    replicaset/gateway-586c64fdf5                   Created pod: gateway-586c64fdf5-fccbt
34s         Normal   Created             pod/builder-678474bf88-2lsq7                    Container created
34s         Normal   Scheduled           pod/jaeger-54885dfdf-7cnc2                      Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-7cnc2 to turbo-engine-e2e-control-plane
34s         Normal   Pulling             pod/jaeger-54885dfdf-7cnc2                      Pulling image "jaegertracing/all-in-one:1.54"
34s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                  Created pod: registry-7d5f66bcd8-x5j8v
34s         Normal   Created             pod/registry-7d5f66bcd8-x5j8v                   Container created
