LAST SEEN   TYPE     REASON              OBJECT                                          MESSAGE
31s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator                Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
31s         Normal   ScalingReplicaSet   deployment/envmanager                           Scaled up replica set envmanager-76c64c8cc9 from 0 to 1
31s         Normal   Created             pod/builder-678474bf88-xcwgt                    Container created
31s         Normal   Scheduled           pod/registry-7d5f66bcd8-fzvpc                   Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-fzvpc to turbo-engine-e2e-control-plane
31s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                   Created pod: builder-678474bf88-xcwgt
31s         Normal   ScalingReplicaSet   deployment/builder                              Scaled up replica set builder-678474bf88 from 0 to 1
31s         Normal   Scheduled           pod/console-78fbd5c84-btvgg                     Successfully assigned turbo-engine-e2e/console-78fbd5c84-btvgg to turbo-engine-e2e-control-plane
31s         Normal   ScalingReplicaSet   deployment/otel-collector                       Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
31s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c            Created pod: otel-collector-8584bc4d4c-xtdms
31s         Normal   Scheduled           pod/builder-678474bf88-xcwgt                    Successfully assigned turbo-engine-e2e/builder-678474bf88-xcwgt to turbo-engine-e2e-control-plane
31s         Normal   SuccessfulCreate    replicaset/console-78fbd5c84                    Created pod: console-78fbd5c84-btvgg
31s         Normal   SuccessfulCreate    replicaset/registry-7d5f66bcd8                  Created pod: registry-7d5f66bcd8-fzvpc
31s         Normal   Pulled              pod/builder-678474bf88-xcwgt                    Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
31s         Normal   SuccessfulCreate    replicaset/gateway-7ddc7b66f6                   Created pod: gateway-7ddc7b66f6-pmx6d
31s         Normal   ScalingReplicaSet   deployment/console                              Scaled up replica set console-78fbd5c84 from 0 to 1
31s         Normal   Scheduled           pod/otel-collector-8584bc4d4c-xtdms             Successfully assigned turbo-engine-e2e/otel-collector-8584bc4d4c-xtdms to turbo-engine-e2e-control-plane
31s         Normal   ScalingReplicaSet   deployment/jaeger                               Scaled up replica set jaeger-54885dfdf from 0 to 1
31s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-lbrnq      Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-lbrnq to turbo-engine-e2e-control-plane
31s         Normal   ScalingReplicaSet   deployment/registry                             Scaled up replica set registry-7d5f66bcd8 from 0 to 1
31s         Normal   Scheduled           pod/envmanager-76c64c8cc9-6xnlp                 Successfully assigned turbo-engine-e2e/envmanager-76c64c8cc9-6xnlp to turbo-engine-e2e-control-plane
31s         Normal   Pulled              pod/envmanager-76c64c8cc9-6xnlp                 Container image "turbo-engine/envmanager:e2e" already present on machine and can be accessed by the pod
31s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                     Created pod: jaeger-54885dfdf-wk7mh
31s         Normal   Scheduled           pod/jaeger-54885dfdf-wk7mh                      Successfully assigned turbo-engine-e2e/jaeger-54885dfdf-wk7mh to turbo-engine-e2e-control-plane
31s         Normal   SuccessfulCreate    replicaset/envmanager-76c64c8cc9                Created pod: envmanager-76c64c8cc9-6xnlp
31s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4     Created pod: turbo-engine-operator-7cd95f4bc4-lbrnq
31s         Normal   Scheduled           pod/gateway-7ddc7b66f6-pmx6d                    Successfully assigned turbo-engine-e2e/gateway-7ddc7b66f6-pmx6d to turbo-engine-e2e-control-plane
31s         Normal   ScalingReplicaSet   deployment/gateway                              Scaled up replica set gateway-7ddc7b66f6 from 0 to 1
30s         Normal   Started             pod/envmanager-76c64c8cc9-6xnlp                 Container started
30s         Normal   Created             pod/envmanager-76c64c8cc9-6xnlp                 Container created
30s         Normal   Created             pod/gateway-7ddc7b66f6-pmx6d                    Container created
30s         Normal   Pulled              pod/gateway-7ddc7b66f6-pmx6d                    Container image "turbo-engine/gateway:e2e" already present on machine and can be accessed by the pod
30s         Normal   Created             pod/registry-7d5f66bcd8-fzvpc                   Container created
30s         Normal   Pulling             pod/jaeger-54885dfdf-wk7mh                      Pulling image "jaegertracing/all-in-one:1.54"
30s         Normal   Pulled              pod/registry-7d5f66bcd8-fzvpc                   Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
30s         Normal   Started             pod/builder-678474bf88-xcwgt                    Container started
30s         Normal   Pulled              pod/console-78fbd5c84-btvgg                     Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
30s         Normal   Started             pod/gateway-7ddc7b66f6-pmx6d                    Container started
30s         Normal   Pulled              pod/turbo-engine-operator-7cd95f4bc4-lbrnq      Container image "turbo-engine/operator:e2e" already present on machine and can be accessed by the pod
30s         Normal   Created             pod/turbo-engine-operator-7cd95f4bc4-lbrnq      Container created
30s         Normal   Pulling             pod/otel-collector-8584bc4d4c-xtdms             Pulling image "otel/opentelemetry-collector-contrib:0.96.0"
30s         Normal   Started             pod/turbo-engine-operator-7cd95f4bc4-lbrnq      Container started
30s         Normal   Started             pod/console-78fbd5c84-btvgg                     Container started
30s         Normal   Started             pod/registry-7d5f66bcd8-fzvpc                   Container started
30s         Normal   Created             pod/console-78fbd5c84-btvgg                     Container created
28s         Normal   Started             pod/jaeger-54885dfdf-wk7mh                      Container started
28s         Normal   Created             pod/jaeger-54885dfdf-wk7mh                      Container created
28s         Normal   Pulled              pod/jaeger-54885dfdf-wk7mh                      Successfully pulled image "jaegertracing/all-in-one:1.54" in 1.983s (1.983s including waiting). Image size: 33344095 bytes.
26s         Normal   Created             pod/otel-collector-8584bc4d4c-xtdms             Container created
26s         Normal   Pulled              pod/otel-collector-8584bc4d4c-xtdms             Successfully pulled image "otel/opentelemetry-collector-contrib:0.96.0" in 2.573s (4.492s including waiting). Image size: 65128183 bytes.
25s         Normal   Started             pod/otel-collector-8584bc4d4c-xtdms             Container started
7s          Normal   ScalingReplicaSet   deployment/deploy-k8s-e2e-test-pkg              Scaled up replica set deploy-k8s-e2e-test-pkg-64676ffc69 from 0 to 1
7s          Normal   SuccessfulCreate    replicaset/deploy-k8s-e2e-test-pkg-64676ffc69   Created pod: deploy-k8s-e2e-test-pkg-64676ffc69-8qjtj
7s          Normal   Scheduled           pod/deploy-k8s-e2e-test-pkg-64676ffc69-8qjtj    Successfully assigned turbo-engine-e2e/deploy-k8s-e2e-test-pkg-64676ffc69-8qjtj to turbo-engine-e2e-control-plane
6s          Normal   Created             pod/deploy-k8s-e2e-test-pkg-64676ffc69-8qjtj    Container created
6s          Normal   Pulled              pod/deploy-k8s-e2e-test-pkg-64676ffc69-8qjtj    Successfully pulled image "registry.k8s.io/pause:3.9" in 633ms (633ms including waiting). Image size: 321520 bytes.
6s          Normal   Pulling             pod/deploy-k8s-e2e-test-pkg-64676ffc69-8qjtj    Pulling image "registry.k8s.io/pause:3.9"
5s          Normal   Started             pod/deploy-k8s-e2e-test-pkg-64676ffc69-8qjtj    Container started
