LAST SEEN   TYPE     REASON              OBJECT                                         MESSAGE
30s         Normal   Scheduled           pod/builder-678474bf88-8xfkl                   Successfully assigned turbo-engine-e2e/builder-678474bf88-8xfkl to turbo-engine-e2e-control-plane
30s         Normal   Scheduled           pod/turbo-engine-operator-7cd95f4bc4-ntl58     Successfully assigned turbo-engine-e2e/turbo-engine-operator-7cd95f4bc4-ntl58 to turbo-engine-e2e-control-plane
30s         Normal   Created             pod/builder-678474bf88-8xfkl                   Container created
30s         Normal   Pulled              pod/registry-7d5f66bcd8-79wx4                  Container image "turbo-engine/registry:e2e" already present on machine and can be accessed by the pod
30s         Normal   SuccessfulCreate    replicaset/builder-678474bf88                  Created pod: builder-678474bf88-8xfkl
30s         Normal   ScalingReplicaSet   deployment/builder                             Scaled up replica set builder-678474bf88 from 0 to 1
30s         Normal   Scheduled           pod/console-78fbd5c84-mlzq7                    Successfully assigned turbo-engine-e2e/console-78fbd5c84-mlzq7 to turbo-engine-e2e-control-plane
30s         Normal   Pulled              pod/console-78fbd5c84-mlzq7                    Container image "turbo-engine/console:e2e" already present on machine and can be accessed by the pod
30s         Normal   Created             pod/console-78fbd5c84-mlzq7                    Container created
30s         Normal   Scheduled           pod/registry-7d5f66bcd8-79wx4                  Successfully assigned turbo-engine-e2e/registry-7d5f66bcd8-79wx4 to turbo-engine-e2e-control-plane
30s         Normal   ScalingReplicaSet   deployment/registry                            Scaled up replica set registry-7d5f66bcd8 from 0 to 1
30s         Normal   ScalingReplicaSet   deployment/console                             Scaled up replica set console-78fbd5c84 from 0 to 1
30s         Normal   ScalingReplicaSet   deployment/turbo-engine-operator               Scaled up replica set turbo-engine-operator-7cd95f4bc4 from 0 to 1
30s         Normal   SuccessfulCreate    replicaset/turbo-engine-operator-7cd95f4bc4    Created pod: turbo-engine-operator-7cd95f4bc4-ntl58
30s         Normal   ScalingReplicaSet   deployment/otel-collector                      Scaled up replica set otel-collector-8584bc4d4c from 0 to 1
30s         Normal   SuccessfulCreate    replicaset/otel-collector-8584bc4d4c           Created pod: otel-collector-8584bc4d4c-gf7sf
30s         Normal   Pulled              pod/builder-678474bf88-8xfkl                   Container image "turbo-engine/builder:e2e" already present on machine and can be accessed by the pod
30s         Normal   SuccessfulCreate    replicaset/jaeger-54885dfdf                    Created pod: jaeger-54885dfdf-wl2mh
